No. of features	Feature	Rank	Cumulative Predicted F1-score
1	Ax_energy	1	69.76%
2	Ay_skewness	1	74.35%
3	Ay_standard_deviation	1	75.13%
4	Ay_value_max	1	80.76%
5	Ay_value_min	1	81.06%
6	Ay_variance	1	85.14%
7	Az_energy	1	85.80%
8	Az_entropy	1	87.62%
9	Az_index_max	1	88.52%
10	Az_index_min	1	89.07%
11	Az_iqr	1	89.56%
12	Ay_signal_magnitude_area	1	89.83%
13	Az_kurtosis	1	90.08%
14	Az_mean_abs_deviation	1	90.33%
15	Az_median	1	90.45%
16	Az_rms	1	90.67%
17	Az_signal_magnitude_area	1	90.75%
18	Az_skewness	1	90.82%
19	Az_standard_deviation	1	90.93%
20	Az_value_max	1	90.99%
21	Az_value_min	1	91.02%
22	Az_variance	1	91.08%
23	corr_xy	1	91.07%
24	Az_mean	1	91.11%
25	corr_xz	1	91.16%
26	Ay_rms	1	91.22%
27	Ay_mean_abs_deviation	1	91.27%
28	Ax_entropy	1	91.32%
29	Ax_index_max	1	91.34%
30	Ax_index_min	1	91.36%
31	Ax_iqr	1	91.40%
32	Ax_kurtosis	1	91.39%
33	Ax_mean	1	91.37%
34	Ax_mean_abs_deviation	1	91.37%
35	Ax_median	1	91.40%
36	Ax_rms	1	91.42%
37	Ax_signal_magnitude_area	1	91.44%
38	Ay_median	1	91.45%
39	Ax_skewness	1	91.43%
40	Ax_value_max	1	91.44%
41	Ax_value_min	1	91.45%
42	Ax_variance	1	91.43%
43	Ay_energy	1	91.43%
44	Ay_entropy	1	91.43%
45	Ay_index_max	1	91.42%
46	Ay_index_min	1	91.43%
47	Ay_iqr	1	91.45%
48	Ay_kurtosis	1	91.44%
49	Ay_mean	1	91.46%
50	Ax_standard_deviation	1	91.48%
51	corr_yz	1	91.49%
