	selected features
0	Ax_energy
1	Ax_entropy
2	Ax_index_max
3	Ax_index_min
4	Ax_iqr
5	Ax_kurtosis
6	Ax_mean
7	Ax_mean_abs_deviation
8	Ax_median
9	Ax_rms
10	Ax_signal_magnitude_area
11	Ax_skewness
12	Ax_standard_deviation
13	Ax_value_max
14	Ax_value_min
15	Ax_variance
16	Ay_energy
17	Ay_entropy
18	Ay_index_max
19	Ay_index_min
20	Ay_iqr
21	Ay_kurtosis
22	Ay_mean
23	Ay_mean_abs_deviation
24	Ay_median
25	Ay_rms
26	Ay_signal_magnitude_area
27	Ay_skewness
28	Ay_standard_deviation
29	Ay_value_max
30	Ay_value_min
31	Ay_variance
32	Az_energy
33	Az_entropy
34	Az_index_max
35	Az_index_min
36	Az_iqr
37	Az_kurtosis
38	Az_mean
39	Az_mean_abs_deviation
40	Az_median
41	Az_rms
42	Az_signal_magnitude_area
43	Az_skewness
44	Az_standard_deviation
45	Az_value_max
46	Az_value_min
47	Az_variance
48	corr_xy
49	corr_xz
50	corr_yz
